Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
003183-2019,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,1245,SOUTHEAST,320,2019,January,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEH W/O CONSENT.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75227,DALLAS,TX
231425-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking Lot (All Others),Motor Vehicle,2217,SOUTHEAST,330,2019,November,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT TOOK COMP'S VEHICLE W/O CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
007431-2020,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Hotel/Motel/ETC,Parking Lot,3112,NORTHWEST,510,2020,January,Registered Owner,Individual,Female,Suspended,"**SUSPECT ENTERED COMPLAINANT'S VEHICLE, TOOK BY UNKNOWN MEANS**",Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75207,DALLAS,TX
179552-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,4451,NORTHWEST,520,2021,October,Victim,Individual,Female,Suspended,UNK SUSP ENTERED VICT'S VEH AND TOOK PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
140966-2021,2023,11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4338,SOUTH CENTRAL,730,2021,August,Victim,Individual,Male,Suspended,UNKOWN SUSP ATT BMV TO COMPS VAN,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75241,DALLAS,TX
135986-2022,2023,11R - BURG OF RES,BURGLARY OF HABITATION -NO FORCED ENTRY,Single Family Residence - Occupied,Residential Property Occupied/Vacant,1233,SOUTHEAST,310,2022,July,Victim,Individual,Male,Suspended,SUSP ENTERED THRU UNLOCKED WINDOW AND TOOK PROPERTY,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75227,DALLAS,TX
118268-2019,2023,11V/01 - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,4288,SOUTHWEST,450,2019,June,Registered Owner,Individual,Male,Suspended,COMP STATED THAT HE SAW 3 SUSP ATTEMPTING TO STEAL HIS SUV.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75233,DALLAS,TX
144643-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,4235,SOUTHWEST,430,2021,August,Victim,Individual,Female,Suspended,UNKN SUSP ENTERED LOCKED VEHICLE W/O DAMAGED SEACHED INTERIOR.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75233,DALLAS,TX
133592-2021,2023,09V-01 UUMV JUST OCRD,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking (Business),Motor Vehicle,2027,CENTRAL,150,2021,July,Victim,Individual,Female,Suspended,SUSP TOOK COMP VEH WITHOUT PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
143350-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Motor Vehicle,1121,NORTHEAST,230,2022,August,Victim,Individual,Male,Suspended,KNOCKED OUT WINDOW TO ENTER LOCKED JEEP SEARCHING INSIDE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75214,DALLAS,TX
