Incident Number w/year,Year of Incident,Call (911) Problem,Type of Incident,Type  Location,Type of Property,Reporting Area,Division,Sector,Year of Occurrence,Month of Occurence,Person Involvement Type,Victim Type,Victim Gender,UCR Disposition,Modus Operandi (MO),Weapon Used,NIBRS Crime,NIBRS Crime Category,NIBRS Crime Against,Zip Code,City,State
225149-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Restaurant/Food Service/TABC Location,Resturant/Food Service/Tabc Location,1062,NORTHEAST,210,2022,December,Victim,Individual,Male,Suspended,UNKNOWN SUSP TOOK COMPS VEHICLE.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
208266-2021,2023,PSE/09 - THEFT,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Hotel/Motel/ETC,Other,2051,CENTRAL,130,2021,November,Victim,Individual,Female,Suspended,UNK SUSP REMOVED WALLET W/O CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75201,DALLAS,TX
151805-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,"Highway, Street, Alley ETC",Motor Vehicle,3041,NORTHWEST,530,2022,August,Victim,Individual,Female,Suspended,UNKN SUSP SHATTERED VEHICLE WINDOW AND REMOVED FIREARM,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75220,DALLAS,TX
249804-2018,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,Single Family Residence - Occupied,Residential Property Occupied/Vacant,1202,NORTHEAST,220,2018,November,Victim,Individual,Male,Suspended,SUSP TOOK COMPS MOTORCYCLE WITHOUT AUTHORIZATION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
013225-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (All Others),None,1052,NORTH CENTRAL,650,2019,January,Victim,Individual,Male,Suspended,UUMV,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75230,DALLAS,TX
220934-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Hotel/Motel/ETC,Other,4521,NORTH CENTRAL,640,2022,December,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP VEH W/O CONSENT FLED,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75243,DALLAS,TX
271297-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,1200,NORTHEAST,230,2017,November,Victim,Individual,Male,Suspended,UNK SUSP ATTEMPTED TO TAKE COMPS VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
087581-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,3113,NORTHWEST,540,2022,May,Victim,Individual,Male,Suspended,UNKN SUSPECT DAMAGED & REMOVED PROPERTY FROM THE LISTED VEHICLE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75235,DALLAS,TX
009903-2022,2023,PSE/09 - THEFT,THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),Apartment Complex/Building,Residential Property Occupied/Vacant,2208,SOUTHEAST,350,2022,January,Victim,Individual,Female,Suspended,KNOWN SUSPECT STOLE PROP FROM APARTMENT WITHOUT CONSENT,Handgun,THEFT OF BUILDING,LARCENY/ THEFT OFFENSES,PROPERTY,75217,DALLAS,TX
042456-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,4513,CENTRAL,110,2023,March,Victim,Individual,Male,Suspended,UNK SUSP ENTRD SEDAN W/O DAMAGE & STOLE PROPERTY W/O CONSENT,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75223,DALLAS,TX
159115-2021,2023,PSE/11V - BURG MOTOR VEH,BMV,Outdoor Area Public/Private,Motor Vehicle,2136,SOUTHEAST,340,2021,September,Victim,Individual,Female,Suspended,"UNKNOWN SUSPECT ENTERED LOCKED VEH, REMOVED PROPERTY W/O CONSENT",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75215,DALLAS,TX
029769-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,4192,SOUTHWEST,440,2023,February,Victim,Individual,Male,Suspended,UNK SUSP ENTERED THE COMPLAINANTS VEHICLE AND REMOVED PROPERTY.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75224,DALLAS,TX
079859-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking Lot (All Others),Parking Lot,3100,NORTHWEST,510,2017,March,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEHICLE WITHOUT PERMISSION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75247,DALLAS,TX
222954-2022,2023,20 - ROBBERY,"ROBBERY (AGG) OF INDIVIDUAL, PRELIMINARY INVESTIGATION",Outdoor Area Public/Private,Outdoor Area Public/Private,8816,SOUTHEAST,350,2022,December,Victim,Individual,Male,Suspended,UNK SUSP USED A GUN TO TAKE COMPS PROPERTY WITHOUT CONSENT.,Handgun,MISCELLANEOUS,MISCELLANEOUS,MISCELLANEOUS,75215,DALLAS,TX
029948-2023,2023,PSE/11V - BURG MOTOR VEH,BMV (OF AUTO ACCESSORY) (P.C. 30.04(A)),Apartment Parking Lot,Motor Vehicle,9604,NORTHEAST,250,2023,February,Victim,Individual,Male,Suspended,PUNCHED OUT LEFT DOOR LOCK TO ENTER FORD F-250 TAKING ITEMS,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75243,DALLAS,TX
002411-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,3127,CENTRAL,120,2023,January,Victim,Individual,Female,Suspended,UNK SUSP ENTERED THE COMPLAINANTS VEHICLE AND REMOVED PROEPRTY.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75219,DALLAS,TX
019282-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,Other,6037,NORTHEAST,250,2022,January,Victim,Individual,Female,Suspended,UNK SUSPS  TOOK COMPS PROPERTY AT GUN POINT,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75243,DALLAS,TX
041598-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,Parking Lot,3059,NORTHWEST,530,2022,March,Victim,Individual,Female,Suspended,SUSP POINTED GUN AND TOLD COMP TO GIVE HIM THE PURSE,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75220,DALLAS,TX
232422-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Parking Lot (All Others),Parking Lot,1027,NORTH CENTRAL,640,2017,October,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMPS VEHICLE W/OUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75251,DALLAS,TX
142780-2021,2023,09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Apartment Complex/Building,Apartment Complex/Building,4441,SOUTHWEST,430,2021,July,Victim,Individual,Female,Suspended,SUSPECT TOOK VICTIM'S PROP W/O CONSENT.,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75211,DALLAS,TX
221563-2022,2023,11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Parking Lot,2061,CENTRAL,130,2022,December,Victim,Individual,Male,Suspended,UNK SUSP ENTERED THE COMPS VEHICLE AND TOOK PROPERTY W/O CONSENT.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75202,DALLAS,TX
036067-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Outdoor Area Public/Private,Motor Vehicle,4338,SOUTH CENTRAL,730,2022,February,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED REAR PLATE OFF 2012 FORD F-150,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75241,DALLAS,TX
078471-2020,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Complex/Building,Apartment Complex/Building,1183,CENTRAL,140,2020,May,Registered Owner,Individual,Female,Suspended,"SUSP BROKE STEERING COLUMN, ATTEMPT UUMV",Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75214,DALLAS,TX
228021-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,1113,NORTHEAST,230,2022,December,Victim,Individual,Male,Suspended,UNKN SUSPECT DAMAGED DOOR LOCK AND SEARCHED LISTED VEHICLE,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75218,DALLAS,TX
032689-2022,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Apartment Parking Lot,Motor Vehicle,1073,NORTHEAST,240,2022,February,Victim,Individual,Female,Suspended,UNKN SUSPECT REMOVED REAR LICENSE PLATE,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75231,DALLAS,TX
065230-2022,2023,PSE/09 - THEFT,THEFT OF PROP <$100 - OTHER THAN SHOPLIFT,Apartment Residence,Other,1132,NORTHEAST,220,2022,April,Victim,Individual,Female,Suspended,UNK SUSPECT REMOVED PROPERTY WITHOUT CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
086543-2022,2023,20 - ROBBERY,ROBBERY OF INDIVIDUAL (AGG),Parking (Business),Parking Lot,3055,NORTHWEST,520,2022,May,Victim,Individual,Male,Suspended,B/M SUSP FORCED COMP INTO VEH AND DEMANDED PROP WITH GUN,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75220,DALLAS,TX
109225-2022,2023,DASV-DIST ACTIVE SHOOTER VEH,DEADLY CONDUCT,Apartment Parking Lot,Parking Lot,4262,SOUTHWEST,450,2022,June,Victim,Individual,Female,Suspended,UNKN SUSPS FIRED GUNS AND CAUSED DAMAGE,Handgun,AGG ASSAULT - NFV,ASSAULT OFFENSES,PERSON,75224,DALLAS,TX
202251-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,2011,CENTRAL,150,2017,September,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP'S VEHICLE W/O CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75204,DALLAS,TX
216357-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $750 <$2,500 (NOT EMP) PC31.03 (e3)",Apartment Parking Lot,Motor Vehicle,1177,NORTHEAST,220,2022,December,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED VEHCILE PART FROM LISTED TRUCK,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
223814-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,Motor Vehicle,4127,SOUTHWEST,440,2022,December,Victim,Individual,Male,Suspended,UNK SUSP(S) TOOK COMPS VEHICLE W/O PERMISSION,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
041729-2023,2023,PSE/11V - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,1074,NORTHEAST,240,2023,March,Victim,Individual,Female,Suspended,UNK SUSP ATT TO TAKE COMP'S VEH DAMAGING STEERING COLUMN,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75231,DALLAS,TX
084127-2022,2023,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Apartment Residence,Residential Property Occupied/Vacant,1020,NORTH CENTRAL,630,2022,March,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT STOLE PACKAGE FROM FRONT DOOR WITHOUT CONSENT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75240,DALLAS,TX
019692-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4548,SOUTHWEST,450,2023,January,Victim,Individual,Male,Suspended,UNK SUSP FORCED ENTRY INTO APARTMENT AND STOLE PROPERTY.,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75236,DALLAS,TX
161745-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Outdoor Area Public/Private,4403,NORTH CENTRAL,610,2022,September,Registered Owner,Individual,Male,Suspended,UNK SUSP TOOK COMP VEH W/O CONSENT FLED,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75287,DALLAS,TX
269079-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,Residential Property Occupied/Vacant,4123,SOUTH CENTRAL,710,2017,November,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMPS VEHICLE W/O CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75203,DALLAS,TX
070787-2022,2023,DASF-DIST ACTIVE SHOOTER FOOT,ROBBERY OF INDIVIDUAL (AGG),Apartment Parking Lot,Apartment Complex/Building,4527,NORTHEAST,210,2022,April,Victim,Individual,Male,Suspended,SUSP POINTED GUN AT COMP AND DEMANDED PROPERTY,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75231,DALLAS,TX
223966-2022,2023,PSE/09 - THEFT,BMV,Outdoor Area Public/Private,Motor Vehicle,2213,SOUTHEAST,330,2022,December,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT REMOVED PROPERTY,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75217,DALLAS,TX
196959-2020,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Complex/Building,Apartment Complex/Building,4360,SOUTH CENTRAL,740,2020,November,Victim,Individual,Female,Suspended,UNK SUSPS ENTERED COMP'S RESIDENCE W/O CONSENT AND TOOK PROPERTY.,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75237,DALLAS,TX
091164-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Single Family Residence - Occupied,Motor Vehicle,4202,SOUTHWEST,430,2017,April,Victim,Individual,Male,Suspended,SUSPECT TOOK VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
027775-2023,2023,PSE/09 - THEFT,THEFT OF PROP (AUTO ACC) <$100 - (NOT EMP),Parking (Business),Motor Vehicle,4376,SOUTH CENTRAL,750,2023,February,Victim,Individual,Female,Suspended,COMP'S FRONT LICENSE PLATE REMOVED FROM VEHICLE W/O PERMISSION,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75241,DALLAS,TX
106110-2022,2023,11R - BURG OF RES,CRIM MISCHIEF > OR EQUAL $100 < $750,Single Family Residence - Vacant,Other,1099,NORTHEAST,230,2022,June,Victim,Individual,Female,Suspended,UNK SUSP KICKED FRONT DOOR OPEN CAUSING DAMAGE,Handgun,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,DESTRUCTION/ DAMAGE/ VANDALISM OF PROPERTY,PROPERTY,75218,DALLAS,TX
009722-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Apartment Parking Lot,Motor Vehicle,2006,CENTRAL,120,2023,January,Victim,Individual,Female,Suspended,UNK SUSP ENTERED THE COMPLAINANTS VEHICLE AND REMOVED PROPERTY.,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
226429-2022,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,2078,CENTRAL,150,2022,December,Victim,Individual,Male,Suspended,"UNK SUSP BROKE INTO COMP'S VEHICLE, W/O PERMISSION, TOOK PROPERTY",Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75226,DALLAS,TX
135016-2021,2023,41/11R - BURG RES IN PROGRESS,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4383,SOUTH CENTRAL,740,2021,June,Victim,Individual,Male,Suspended,SUSP TOOK COMP'S PROPERTY WITHOUT CONSENT.,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75232,DALLAS,TX
156532-2022,2023,PSE/09 - THEFT,THEFT OF PROP > OR EQUAL $100 <$750 (NOT SHOPLIFT) PC31.03(e2A),Outdoor Area Public/Private,Outdoor Area Public/Private,4173,SOUTH CENTRAL,710,2022,August,Victim,Individual,Male,Suspended,UNK SUSP STOLE PATIO TABLE & 2 CHAIRS FROM OUTSIDE AREA W/O CNSNT,Handgun,ALL OTHER LARCENY,LARCENY/ THEFT OFFENSES,PROPERTY,75203,DALLAS,TX
042700-2022,2023,11R - BURG OF RES,BURGLARY OF HABITATION - FORCED ENTRY,Apartment Residence,Apartment Complex/Building,4258,SOUTHWEST,450,2022,March,Victim,Individual,Male,Suspended,UNKN SUSP FORCED ENTRY INTO COMPS APT TO REMOVE PROP W/O CONSENT,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75233,DALLAS,TX
209551-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,Motor Vehicle,1250,SOUTHEAST,330,2017,September,Victim,Individual,Male,Suspended,UNK SUSP TOOK THE COMP'S TRUCK W/OUT THE KEYS.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
091940-2017,2023,32 - SUSPICIOUS PERSON,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Single Family Residence - Occupied,None,4349,SOUTH CENTRAL,740,2017,April,Victim,Individual,Male,Suspended,UNK SUSP TOOK COMP VEHICLE WITHOUT CONSENT.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75232,DALLAS,TX
207577-2023,2023,11R - BURG OF RES,BURGLARY OF HABITATION -NO FORCED ENTRY,Apartment Residence,Other,4424,NORTHEAST,250,2023,November,Victim,Individual,Female,Suspended,UNK SUSP ENETERED COMP'S APARTMENT & TOOK PROPERTY W/O CONSENT.,Handgun,BURGLARY-RESIDENCE,BURGLARY/ BREAKING & ENTERING,PROPERTY,75243,DALLAS,TX
219627-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Outdoor Area Public/Private,Outdoor Area Public/Private,4185,SOUTHWEST,440,2017,September,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT STOLE COMP'S VEHICLE W/OUT PERMISSION,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
087942-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - TRUCK OR BUS,Single Family Residence - Occupied,Motor Vehicle,4202,SOUTHWEST,430,2017,April,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT TOOK LISTED VEHICLE WITHOUT CONSENT.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75236,DALLAS,TX
023244-2023,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Complex/Building,Apartment Complex/Building,2023,CENTRAL,130,2023,February,Victim,Individual,Male,Suspended,UNK SUSP TOOK THE COMPS VEHICLE W/O THE CONSENT OF THE COMP,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75201,DALLAS,TX
021629-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking (Business),Motor Vehicle,2004,CENTRAL,140,2023,February,Victim,Individual,Male,Open,UNKN SUSP ENTERED LOCKED VEHICLE W/O DAMAGE TAKING ITEMS,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75204,DALLAS,TX
066436-2021,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Parking Lot (Park),Other,1196,CENTRAL,110,2021,April,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP VEHICLE WITHOUT PERMISSION.,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75223,DALLAS,TX
087114-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Motor Vehicle,1216,SOUTHEAST,310,2017,April,Victim,Individual,Male,Suspended,UNKNOWN SUSPECT STOLE COMP'S VEHICLE.,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75227,DALLAS,TX
223629-2021,2023,41/20 - ROBBERY - IN PROGRESS,ROBBERY OF INDIVIDUAL (AGG),Single Family Residence - Occupied,Residential Property Occupied/Vacant,1242,SOUTHEAST,320,2021,December,Victim,Individual,Male,Suspended,SUSPECT POINTED HANDGUN ENTERED COMPS VEHICLE WITHOUT PERMISSION,Handgun,ROBBERY-INDIVIDUAL,ROBBERY,PROPERTY,75227,DALLAS,TX
032874-2022,2023,PSE/09 - THEFT,THEFT FROM BUILDING> OR EQUAL $100<$750 (NOT SHOPLIFT),Single Family Residence - Occupied,Other,4282,SOUTH CENTRAL,720,2022,February,Victim,Individual,Female,Suspended,UNKNOWN SUSPECT REMOVED FIREARM FROM ROOM WITHOUT CONSENT,Handgun,THEFT OF BUILDING,LARCENY/ THEFT OFFENSES,PROPERTY,75216,DALLAS,TX
094457-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - OTHER VEH,"Highway, Street, Alley ETC",Other,2226,SOUTHEAST,350,2019,May,Victim,Individual,Male,Suspended,MIR,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
036280-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,4202,SOUTHWEST,430,2017,February,Victim,Individual,Male,Suspended,SUSPECT TOOK COMP VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75236,DALLAS,TX
169379-2022,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Other,1030,NORTHEAST,250,2022,September,Victim,Individual,Female,Suspended,UNK SUSP STOLE COMP'S VEHICLE,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75243,DALLAS,TX
027609-2023,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Parking Lot,1004,NORTH CENTRAL,620,2023,February,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMPS VEH FLED,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75248,DALLAS,TX
182552-2019,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,"Highway, Street, Alley ETC",Motor Vehicle,4002,SOUTHWEST,420,2019,September,Victim,Individual,Female,Suspended,UNK SUSP TOOK COMP VEH W/OUT CONSENT,Handgun,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75212,DALLAS,TX
035852-2023,2023,PSE/11V - BURG MOTOR VEH,BMV,Parking Lot (All Others),Motor Vehicle,2061,CENTRAL,130,2023,February,Victim,Individual,Male,Suspended,COMP'S VEHICLE ENTERED AND ITEMS REMOVED WITHOUT PERMISSION,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75202,DALLAS,TX
120473-2022,2023,PSE/09 - THEFT,BMV,Parking (Business),Motor Vehicle,1177,NORTHEAST,220,2022,July,Victim,Individual,Male,Suspended,UNKN SUSPECT REMOVED CELLPHONE FROM LISTED TRUCK,Handgun,THEFT FROM MOTOR VEHICLE,LARCENY/ THEFT OFFENSES,PROPERTY,75228,DALLAS,TX
155192-2022,2023,PSE/11V - BURG MOTOR VEH,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Parking (Business),Motor Vehicle,3024,NORTHWEST,530,2022,August,Victim,Individual,Male,Suspended,UNKN SUSP REMOVED AUTO PART OFF TOYOTA TUNDRA,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75229,DALLAS,TX
124030-2017,2023,11V/01 - BURG MOTOR VEH,UNAUTHORIZED USE OF MOTOR VEH - (ATT) AUTOMOBILE,Single Family Residence - Occupied,Motor Vehicle,1254,SOUTHEAST,330,2017,June,Victim,Individual,Male,Suspended,UUMV- ATTEMPT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75217,DALLAS,TX
168634-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Outdoor Area Public/Private,None,1136,NORTHEAST,220,2017,July,Victim,Individual,Female,Suspended,UNKNOWN SUSP TOOK COMPS VEHICLE WITHOUT CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75228,DALLAS,TX
227934-2022,2023,PSE/09 - THEFT,"THEFT OF PROP (AUTO ACC) > OR EQUAL $2,500 <$30K (NOT EMP) PC31.03(e4A)",Apartment Parking Lot,Motor Vehicle,4060,SOUTHWEST,420,2022,December,Victim,Individual,Female,Suspended,UNKN SUSP REMOVED AUTO ACCESSORY USING UNKNOWN CUTTING TOOL,Handgun,THEFT OF MOTOR VEHICLE PARTS OR ACCESSORIES,LARCENY/ THEFT OFFENSES,PROPERTY,75212,DALLAS,TX
158779-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Motor Vehicle,Motor Vehicle,4323,SOUTH CENTRAL,720,2017,July,Victim,Individual,Male,Suspended,SUSPECT TOOK COMPS VEHICLE WITHOUT CONSENT.,Vehicle,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75216,DALLAS,TX
116380-2017,2023,09V - UUMV,UNAUTHORIZED USE OF MOTOR VEH - AUTOMOBILE,Apartment Parking Lot,Other,4441,SOUTHWEST,430,2017,May,Victim,Individual,Female,Suspended,UNKNOWN SUSP TOOK COMPS VEHICLE W/O CONSENT,Other,UUMV,MOTOR VEHICLE THEFT,PROPERTY,75211,DALLAS,TX
