Class,Incident#,Crime,Date/Time,Location Name,Address,Agency
Burglary from Motor Vehicle,24036519,Theft From Veh,02/23/2024 11:40 PM,Parking/drop Lot/garage,"2xx Mckinney St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24036586,Theft From Veh,02/23/2024 09:00 PM,Highway/road/alley/street/sidewalk,"7xx Mulberry St, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24035678,Theft From Veh,02/22/2024 08:00 PM,Parking/drop Lot/garage,"32xx Medpark Dr, Denton, Tx 76205",Denton Police Department (Tx)
Burglary from Motor Vehicle,24035356,Theft From Veh,02/21/2024 10:05 PM,Residence/home,"32xx Heritage Trl, Denton, Tx 76201",Denton Police Department (Tx)
Burglary from Motor Vehicle,24055481,Theft From Veh,02/21/2024 10:00 PM,Parking/drop Lot/garage,"16xx Oak St, Denton, Tx 76201",Denton Police Department (Tx)
Robbery - Individual,24068723,Robbery,04/10/2024 10:20 PM,Residence/home,"7xx Fort Worth Dr, Denton, Tx 76201",Denton Police Department (Tx)
Robbery - Individual,24065785,Robbery,04/06/2024 02:05 PM,Parking/drop Lot/garage,"27xx Mckinney St, Denton, Tx 76209",Denton Police Department (Tx)
Robbery - Individual,24055932,Robbery,03/23/2024 09:00 AM,Air/bus/train Terminal,"6xx Hickory St, Denton, Tx 76205",Denton Police Department (Tx)
Robbery - Individual,24051612,Robbery,03/16/2024 11:00 PM,Highway/road/alley/street/sidewalk,"23xx Leslie St, Denton, Tx 76205",Denton Police Department (Tx)
Robbery - Individual,24050153,Robbery,03/14/2024 07:40 PM,Residence/home,"3xx Coronado Dr, Denton, Tx 76209",Denton Police Department (Tx)
Robbery - Individual,24040267,Robbery,02/29/2024 02:00 PM,Conv Store,"30xx University Dr, Denton, Tx 76209",Denton Police Department (Tx)
